umbral2|Lo de tener un Fiscal General proesado penalmente, no pasa en ninguna democracia.
228dead|este super notición del día es otro bulazo como una catedral porque el juez Untado no ha enviado al FG a juicio sino que ha escrito un auto, que no es el cochazo que se va a comprar con lo que le paga el ppvx, sino un resumen de su teoría conspiratoria, sobre que Sánchez está detrás de todo este vodevil que se ha inventado, porque se lo ha oído decir al aldama que como todos sabemos tiene millones de pruebas para acabar con el gobierno
Novale|Y lo mejor de todo qué es? Pues que al decir que este hombre es culpable de filtrar el delito es que había delito que filtrar. Es decir, el novio de Ayuso es un delincuente y Ayuso reclamando el dinero que le debía hacienda, también.
MBien|Muy bien, el que la hace la paga. La justicia es para todos! Y no dimite! Pues que lo juzguen, junto con la fiscal provincial , y a Sánchez...
HartoDeTantoTonto|@Oliver44 #11 Cerrar El primer fiscal general del Estado sentado en un banquillo. Y señoras y caballeros siguen en su cargo. Esto solo puede pasar en España. Corrijo, también en la Venezuela de Maduro y en Cuba.
Fakejo|@Pepe_el_de_Antequera #39 Cerrar @ Fakejo # 10 el juez entiende que hay indicios suficientes para ir a juicio , es decir que después de la instrucción y de los testimonios y las pruebas aportadas , entiende que puede probar el delito . El que Ortiz haya destruido pruebas no quiere decir que el juez no tenga otras pruebas suficientes . Se llama Estado de Derecho y afortunadamente se persigue a criminales aunque estos hayan intentado hacer desparecer testigos o pruebas testificales. Ni una..no tiene ni una sola prueba..y así quedará demostrado pero el imputa sin pruebas porque persigue un fin político..espero que acabe retirado de la carrera judicial..esto es muy grave y atenta a las bases de nuestra democracia...ni un paso atrás..
Hatefachis|@tienesrazon #479 Cerrar @ Segistobre # 454 Oye Segis, hoy estás derrotado, ni con todos tus trolls de Ferraz puedes hacer nada, jaja. Pero que corruptos sois en Ferraz, no está en los escritos. recordar que este sinvergüenza decía ayer que echaba de menos los fusilamientos de paca laculona y que añoraba ver las cunetas llenas de cadáveres de rojos y contaba lo que se divirtió violando a niños y niñas
HartoDeTantoTonto|@Segistobre #488 Cerrar Para la derechona es más importante la filtración, de la que no hay aún certeza quién la hizo, que el fraude del novio de La Frutera. Los zurdos no dais para más, si la pareja de la Sr. Ayuso tiene que ir a la cárcel que vaya y si el fiscal lamebotas de Sánchez, tiene que ir que vaya, esa es la diferencia con los votontos de falconeti, que muchos estamos contra cualquier corrupción y vosotros solo contra la resto de partidos y perdonáis la de vuestros amos.
WILLY_NILLY|@HomerJaySimpson #474 Cerrar Me da igual, seguire votando a Sánchez, es lo menos malo. Totalmente de acuerdo... Seguro que hay todavía, millones como tú, que a pesar de todos los escándalos de Pedro Maduro Sánchez, estáis dispuestos a comeros las piedras antes que gobierne la derecha...Pues hala, sarna con gusto no pica ...
YoOpinoAsi|Pnchazo de mani y por suerte tenemos a nuestros jueces dispuestos.
Novale|@tienesrazon #473 Cerrar @ Novale # 437 jajajaja, sí sí claro, el ser corruptos le da votos al PSOE, pues madre mía, en las próximas elecciones no bajáis de los 300 diputados. interprételo como quiera. Lo cierto es que en la democracia, lo importante son las urnas. O en el lempira democracia ayer lo que defendían era la mafia?
ADELE_|@ROADSTER #503 Cerrar @ ADELE_ # 497 Pues no te digo como están los zurdos madrileños que llevan treinta años sin tocar pelo. Y con Oscar López de candidato otros cuatro más están más que asegurados. Aunque parezca imposible Oscar tiene aún menos talla política que Pepu Hernández el elegido de Sánchez que pasó de estrella a estrellado. Bueno, por no hablar de los patriotillas, que todavía no han aceptado que Sánchez ganó las elecciones de 2023. Pero los golpistas ya sabe usted cómo son. ¡Vaya que si lo sabe!
WILLY_NILLY|El cerco sobre Pedro Maduro Sánchez se va estrechando...
Lord_Emsworth|@Segistobre #488 Cerrar Para la derechona es más importante la filtración, de la que no hay aún certeza quién la hizo, que el fraude del novio de La Frutera. Para la derechona y cualquier persona con un mínimo sentido ético. A ver si lo entiende: existen diversas instituciones que tienen la potestad de conocer los datos privados de las personas y su primera obligación, hasta que un juez levante el secreto de sumario, es preservarlos sin ninguna publicidad. Desde luego, no utilizarlos para "ganar el relato". A mí, por ejemplo, me gustaría muchísimo conocer los correos, mensajes, extractos de cuentas corrientes, etc. de Begoña Gómez, Leire, Grande-Marlaska, Koldo, Mercedes González, Ábalos, los Hidalgo y bastantes personajes más que aparecen todos los días en los periódicos. Pero si accediera a los mismos sin su permiso explícito cometería un delito muy grave. Pues más grave es que un funcionario con acceso a los mismos los revele para sacar réditos políticos. Es, desde un punto de vista ético, repugnante. Se gane el relato o no.
ROADSTER|@Segistobre #488 Cerrar Para la derechona es más importante la filtración, de la que no hay aún certeza quién la hizo, que el fraude del novio de La Frutera. Para los zurdos pagar las merectrices de Abalos con dinero público le parecen un acto de caridad propio de una ONG.
ROADSTER|Buñuelos ministro de justicia cargando contra los jueces que no se doblegan a su amo Sánchez. El zorro cuidando las gallinas. De locos.
HartoDeTantoTonto|Aún hay esperanza, quedan jueces dignos y honrados.
raro3160|@ADELE_ #497 Cerrar @ Lord_Emsworth # 483 ¿Los patriotillas que leen El Mundo? Están que echan chispas, señor. Y llevan así desde 2019. ¿Esa es su excusa para justificar su apoyo a la actitud del Fiscal General y el Gobierno? Usted realmente no cree en las bases del Estado de Derecho. Seguramente estaría más cómodo o cómoda en otro tipo de Estado menos exigente.
ROADSTER|@ADELE_ #497 Cerrar @ Lord_Emsworth # 483 ¿Los patriotillas que leen El Mundo? Están que echan chispas, señor. Y llevan así desde 2019. Pues no te digo como están los zurdos madrileños que llevan treinta años sin tocar pelo. Y con Oscar López de candidato otros cuatro más están más que asegurados. Aunque parezca imposible Oscar tiene aún menos talla política que Pepu Hernández el elegido de Sánchez que pasó de estrella a estrellado.
FURILO|Segun Pumpido, El TC juzgará a Ayuso, por las mas de 9.000 personas muertas en Paracuellos. La democracia esta volviendo a este pais!!
_Placebo72|@_Placebo72 #477 Cerrar @ ntl # 464 No , Sra, la tesis es que durante los gobiernos peperos pidieron cambiar el sistema de elección, no lo hicieron y esperaron (casualmente) a estar en la oposición para pedir tal cambio. pudieron
Bostezador|Se está haciendo una cacería con un hombre honrado, íntegro, honesto.
Hyperionensis|Dado el cariz que estaban tomando los acontecimientos, ya debió haber presentado la dimisión cuando fue imputado.
ADELE_|@FURILO #482 Cerrar Y no procesa a Mazon, por las mas de 200.000 personas muertas `por el Covid? Eso que el gobierno dijo que solo serian una o dos!! No hombre, cómo va a procesar a Mazón, para el PP 228 muertos son calderilla.
ADELE_|@Lord_Emsworth #483 Cerrar @ ADELE_ # 461 Estamos de mala leche, ¿verdad? ¿Los patriotillas que leen El Mundo? Están que echan chispas, señor. Y llevan así desde 2019.
Brummie|@Segistobre #450 Cerrar Hace unas semanas el líder de Manos Limpias adelantó lo que iba a hacer este juez. No es arriesgado pensar que el juez Hurtado tenía la decisión tomada antes de empezar a investigar y la falta de pruebas no le ha supuesto un problema para seguir adelante. Segis: lo de la "falta de pruebas" lo dices por todas las que borró el FGE, no? De verdad, es que me parto contigo, eres una mina!! Guapo!!!! No pares de comentar, un besazo
Quetevotetxapapote|Para "tapar" el gatillazo de Feikjóo ayer en la Pza. de España, el juez PPero (que no supo quién era M. Rajoy) sale raudo en su auxilio imputando al FGE. Es muy burdo pero vamos con ello... (pero va a ser que no).
WILLY_NILLY|@Bevilacqua #452 Cerrar No sé que haría el PP sin sus jueces, su prensa y su policía patriótica! Pues lo mismo que haría el PSOE sin su Fiscal General, su Tribunal Constitucional y su equipo de medios de opinión sincronizada...LO MISMO QUE EL PP...
Brummie|@Segistobre #457 Cerrar Feijóo pide con urgencia un adelanto electoral porque se está oliendo que los casos fake del FGE y los del hermano y de la mujer de Pedro Sánchez se están desinflando. Ya se sabe que el PP no tiene ninguna propuesta alternativa para España; solo se sirve del ruido mediático creado artificialmente con los medios y los jueces amigos. Segis: lo del "gatillazo" que decía ayer uno de tus jefes mafiosos en Twitter en realidad iba por ti. Es lo que te pasa cada vez que entras por aquí en estos foros. No puedes decir que no inspiras a tus jefes. Yo te seguiré inflando a positivos a ver si se te levanta (el ánimo, quiero decir :))))
LeopoldoCatovi|@ADELE_ #484 Cerrar @ El_futuro_ya_paso # 478 No hace falta que teclee, use el cencerro que lleva al cuello. Tú tranquila, chica, que un día de estos te da un patatús. Que a nosotros de ti nos gustan hasta los andares
Esp2017|@umbral2 #3 Cerrar Lo de tener un Fiscal General proesado penalmente, no pasa en ninguna democracia. Claro, es que en España ya no hay una democracia desde hace 7 años.
zorin|Ahora saldrán en tromba en contra del juez. Que lo juzgue un tribunal popular. Nueve españolitos elegidos por sorteo. Sí es inocente es inocente. Y sí es culpable el juez solo lo que pone son los años de talego.
Un_Pallares_Cualquiera|@tienesrazon #479 Cerrar @ Segistobre # 454 Oye Segis, hoy estás derrotado, ni con todos tus trolls de Ferraz puedes hacer nada, jaja. Pero que corruptos sois en Ferraz, no está en los escritos. Viva la limpieza de Génova, como ayer con un expresidente con gran parte de sus ministros condenados defendiendo ese lamentable lema de "mafia o democracia" cuando es el perfecto ejemplo de lo primero.
Segistobre|Para la derechona es más importante la filtración, de la que no hay aún certeza quién la hizo, que el fraude del novio de La Frutera.
LeopoldoCatovi|@Nachoruiz #480 Cerrar Un juez que pasa absolutamente de las pruebas que acreditan que el FG no filtró y que acusa sin prueba alguna de que se dio instrucciones desde Moncloa merece la inhabilitación inmediata. De verdad te crees lo que has escrito???
Novale|Vaya, se ha esfumado la manifestación. A ver si iba a ser verdad que fue un fracaso
Un_Pallares_Cualquiera|Otro Garzón. Todo lo que sea tocar judicialmente altos rangos del PP es delito. La ley al servicio de la impunidad del poder fáctico.
ADELE_|@El_futuro_ya_paso #478 Cerrar @ ADELE_ # 453 Se nota que son suyas, están mal puestas. No hace falta que teclee, use el cencerro que lleva al cuello.
Lord_Emsworth|@ADELE_ #461 Cerrar @ El_futuro_ya_paso # 449 "Crealo" no, "Créalo". Y no ponga de excusa que es usted andaluz, allá abajo también hay gente muy culta. Estamos de mala leche, ¿verdad?
FURILO|Y no procesa a Mazon, por las mas de 200.000 personas muertas `por el Covid? Eso que el gobierno dijo que solo serian una o dos!!
ADELE_|@El_futuro_ya_paso #468 Cerrar Tranquilidad @ ADELE_ # 442, todo sigue su curso y su orden. El mozart de Almedralejo ya está en capilla, Don Alvarone ya está en camino... no se preocupe por Bego, de momento se está cocinando a fuego lento. ¿Y han aparecido los 19 escaños que los franquistas de Vox perdieron el 23J? ¿Ha mirado usted detrás del sofá?
Nachoruiz|Un juez que pasa absolutamente de las pruebas que acreditan que el FG no filtró y que acusa sin prueba alguna de que se dio instrucciones desde Moncloa merece la inhabilitación inmediata.
tienesrazon|@Segistobre #454 Cerrar El PP ya celebró ayer su manifestación en la que quedó patente que Feijóo ha tocado techo, lo que quedó patente por el fracaso en el número de asistentes. El PP ya ha celebrado 6 manifestaciones en 2 años. Esa estrategia ya está amortizada. ¿Y ahora qué? ¿Qué ha cambiado? Pues ahora, como la concentración fue un fracaso, volvemos a los casos fake del FGE y los de la mujer y el hermano de Pedro Sánchez. Oye Segis, hoy estás derrotado, ni con todos tus trolls de Ferraz puedes hacer nada, jaja. Pero que corruptos sois en Ferraz, no está en los escritos.
El_futuro_ya_paso|@ADELE_ #453 Cerrar Qué raro lo cuentan en otros medios, no me gusta: "El juez procesa al fiscal general por la filtración del correo de la pareja de Ayuso y le acusa SIN PRUEBAS de seguir Instrucciones de Moncloa". Las mayúsculas son mías. Se nota que son suyas, están mal puestas.
